,mainVariableName,sub0,sub1,sub2
318,2,6,0,6
319,2,8,7,0
320,2,4,7,9
321,4,3,2,0
322,4,2,3,1
323,4,4,2,3
324,2,3,8,10
325,2,4,0,4
326,2,4,8,7
327,2,2,8,1
328,2,2,8,6
329,2,6,2,5
330,2,3,7,7
331,2,0,8,1
332,2,3,0,0
333,2,0,1,0
334,2,0,1,0
335,2,4,3,0
336,2,5,3,0
337,2,7,3,4
338,2,1,0,2
339,1,9,7,3
340,1,4,1,1
341,1,0,5,0
342,1,2,4,4
343,1,5,7,1
344,1,7,5,4
345,1,2,4,2
346,1,9,2,3
347,1,2,5,3
348,3,3,5,0
349,3,6,6,5
350,3,7,4,6
351,1,3,3,3
352,1,8,4,1
353,1,2,3,3
354,4,3,3,3
355,4,4,4,3
356,4,4,3,3
357,1,1,5,4
358,1,1,5,4
359,1,2,5,3
360,1,1,4,8
361,1,1,4,8
362,1,2,0,8
363,1,5,6,3
364,1,0,7,0
365,1,0,7,3
366,1,4,1,6
367,1,1,8,3
368,1,4,2,3
369,2,3,6,1
370,2,1,7,4
371,2,5,3,0
372,2,6,3,9
373,2,6,1,3
374,2,8,3,3
375,2,3,7,2
376,2,1,5,4
377,2,9,8,3
378,2,4,1,8
379,2,0,8,9
380,2,4,4,4
381,2,0,1,2
382,2,0,5,8
383,2,3,7,1
384,2,5,9,7
385,2,7,2,8
386,2,1,7,4
387,2,7,0,10
388,2,0,6,6
389,2,7,5,0
390,2,3,6,9
391,2,7,1,0
392,2,7,6,2
393,2,4,9,4
394,2,7,0,9
395,2,1,6,8
396,2,1,3,7
397,2,1,7,8
398,2,1,6,4
399,2,7,7,1
400,2,9,6,1
401,2,8,7,6
402,3,1,5,5
403,3,3,6,6
404,3,7,7,6
405,1,3,4,2
406,1,1,4,3
407,1,2,6,0
408,2,8,0,5
409,2,0,5,5
410,2,1,10,0
411,2,7,5,10
412,2,3,7,0
413,2,5,6,0
414,2,8,0,4
415,2,3,10,7
416,2,4,8,8
417,2,0,7,0
418,2,0,6,0
419,2,5,6,7
420,2,8,3,4
421,2,0,6,6
422,2,3,8,8
423,3,5,7,7
424,3,5,6,4
425,3,1,2,0
426,2,7,1,7
427,2,5,5,3
428,2,1,0,0
429,2,1,5,6
430,2,4,3,6
431,2,0,7,4
432,1,2,4,4
433,1,0,8,4
434,1,6,5,9
435,1,5,6,2
436,1,1,8,4
437,1,3,9,0
