,mainVariableName,sub0,sub1,sub2
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,1,0
4,0,0,1,0
5,0,0,1,0
6,0,1,1,0
7,0,1,1,0
8,0,1,1,0
9,0,1,1,1
10,0,1,1,1
11,0,1,1,1
12,0,1,1,2
13,0,1,1,2
14,0,1,1,2
15,0,2,1,2
16,0,2,1,2
17,0,2,1,2
18,0,2,2,2
19,0,2,2,2
20,0,2,2,2
21,0,2,3,2
22,0,2,3,2
23,0,2,3,2
24,0,3,3,2
25,0,3,3,2
26,0,3,3,2
27,0,3,3,3
28,0,3,3,3
29,0,3,3,3
30,0,3,3,4
31,0,3,3,4
32,0,3,3,4
33,0,3,4,4
34,0,3,4,4
35,0,3,4,4
36,0,4,4,4
37,0,4,4,4
38,0,4,4,4
39,0,4,4,5
40,0,4,4,5
41,0,4,4,5
42,0,4,5,5
43,0,4,5,5
44,0,4,5,5
45,0,5,5,5
46,0,5,5,5
47,0,5,5,5
48,0,6,5,5
49,0,6,5,5
50,0,6,5,5
51,0,6,6,5
52,0,6,6,5
53,0,6,6,5
54,0,6,6,6
55,0,6,6,6
56,0,6,6,6
57,0,6,7,6
58,0,6,7,6
59,0,6,7,6
60,0,6,7,7
61,0,6,7,7
62,0,6,7,7
63,0,7,7,7
64,0,7,7,7
65,0,7,7,7
66,0,7,8,7
67,0,7,8,7
68,0,7,8,7
69,0,8,8,7
70,0,8,8,7
71,0,8,8,7
72,0,8,8,8
73,0,8,8,8
74,0,8,8,8
75,0,9,8,8
76,0,9,8,8
77,0,9,8,8
78,0,9,9,8
79,0,9,9,8
80,0,9,9,8
81,0,9,9,9
82,0,9,9,9
83,0,9,9,9
84,0,9,9,10
85,0,9,9,10
86,0,9,9,10
87,0,9,10,10
88,0,9,10,10
89,0,9,10,10
90,0,10,10,10
91,0,10,10,10
92,0,10,10,10
93,0,10,11,10
94,0,10,11,10
95,0,10,11,10
96,0,10,11,11
97,0,10,11,11
98,0,10,11,11
99,0,11,11,11
100,0,11,11,11
101,0,11,11,11
102,0,11,12,11
103,0,11,12,11
104,0,11,12,11
105,0,11,12,12
106,0,11,12,12
107,0,11,12,12
108,0,12,12,12
109,0,12,12,12
110,0,12,12,12
111,1,0,0,0
112,1,0,0,0
113,1,0,0,0
114,1,1,0,0
115,1,1,0,0
116,1,1,0,0
117,1,1,0,1
118,1,1,0,1
119,1,1,0,1
120,1,1,1,1
121,1,1,1,1
122,1,1,1,1
123,1,1,1,2
124,1,1,1,2
125,1,1,1,2
126,1,1,2,2
127,1,1,2,2
128,1,1,2,2
129,1,2,2,2
130,1,2,2,2
131,1,2,2,2
132,1,2,2,3
133,1,2,2,3
134,1,2,2,3
135,1,3,2,3
136,1,3,2,3
137,1,3,2,3
138,1,3,3,3
139,1,3,3,3
140,1,3,3,3
141,1,3,4,3
142,1,3,4,3
143,1,3,4,3
144,1,3,4,4
145,1,3,4,4
146,1,3,4,4
147,1,4,4,4
148,1,4,4,4
149,1,4,4,4
150,1,4,5,4
151,1,4,5,4
152,1,4,5,4
153,1,5,5,4
154,1,5,5,4
155,1,5,5,4
156,1,5,5,5
157,1,5,5,5
158,1,5,5,5
159,1,5,6,5
160,1,5,6,5
161,1,5,6,5
162,1,5,6,6
163,1,5,6,6
164,1,5,6,6
165,1,6,6,6
166,1,6,6,6
167,1,6,6,6
168,1,6,7,6
169,1,6,7,6
170,1,6,7,6
171,1,7,7,6
172,1,7,7,6
173,1,7,7,6
174,1,7,7,7
175,1,7,7,7
176,1,7,7,7
177,1,8,7,7
178,1,8,7,7
179,1,8,7,7
180,1,8,8,7
181,1,8,8,7
182,1,8,8,7
183,1,8,8,8
184,1,8,8,8
185,1,8,8,8
186,1,9,8,8
187,1,9,8,8
188,1,9,8,8
189,1,9,9,8
190,1,9,9,8
191,1,9,9,8
192,1,9,9,9
193,1,9,9,9
194,1,9,9,9
195,1,9,9,10
196,1,9,9,10
197,1,9,9,10
198,1,10,9,10
199,1,10,9,10
200,1,10,9,10
201,1,10,10,10
202,1,10,10,10
203,1,10,10,10
204,1,11,10,10
205,1,11,10,10
206,1,11,10,10
207,1,11,10,11
208,1,11,10,11
209,1,11,10,11
210,1,11,11,11
211,1,11,11,11
212,1,11,11,11
213,1,11,11,12
214,1,11,11,12
215,1,11,11,12
216,1,12,11,12
217,1,12,11,12
218,1,12,11,12
219,1,12,12,12
220,1,12,12,12
221,1,12,12,12
222,2,0,0,0
223,2,0,0,0
224,2,0,0,0
225,2,1,0,0
226,2,1,0,0
227,2,1,0,0
228,2,1,1,0
229,2,1,1,0
230,2,1,1,0
231,2,1,1,1
232,2,1,1,1
233,2,1,1,1
234,2,2,1,1
235,2,2,1,1
236,2,2,1,1
237,2,2,1,2
238,2,2,1,2
239,2,2,1,2
240,2,2,2,2
241,2,2,2,2
242,2,2,2,2
243,2,2,3,2
244,2,2,3,2
245,2,2,3,2
246,2,3,3,2
247,2,3,3,2
248,2,3,3,2
249,2,3,3,3
250,2,3,3,3
251,2,3,3,3
252,2,4,3,3
253,2,4,3,3
254,2,4,3,3
255,2,4,3,4
256,2,4,3,4
257,2,4,3,4
258,2,4,4,4
259,2,4,4,4
260,2,4,4,4
261,2,4,4,5
262,2,4,4,5
263,2,4,4,5
264,2,5,4,5
265,2,5,4,5
266,2,5,4,5
267,2,5,5,5
268,2,5,5,5
269,2,5,5,5
270,2,5,6,5
271,2,5,6,5
272,2,5,6,5
273,2,5,6,6
274,2,5,6,6
275,2,5,6,6
276,2,6,6,6
277,2,6,6,6
278,2,6,6,6
279,2,7,6,6
280,2,7,6,6
281,2,7,6,6
282,2,7,7,6
283,2,7,7,6
284,2,7,7,6
285,2,7,7,7
286,2,7,7,7
287,2,7,7,7
288,2,7,7,8
289,2,7,7,8
290,2,7,7,8
291,2,7,8,8
292,2,7,8,8
293,2,7,8,8
294,2,8,8,8
295,2,8,8,8
296,2,8,8,8
297,2,9,8,8
298,2,9,8,8
299,2,9,8,8
300,2,9,9,8
301,2,9,9,8
302,2,9,9,8
303,2,9,9,9
304,2,9,9,9
305,2,9,9,9
306,2,9,10,9
307,2,9,10,9
308,2,9,10,9
309,2,9,10,10
310,2,9,10,10
311,2,9,10,10
312,2,10,10,10
313,2,10,10,10
314,2,10,10,10
315,2,10,10,11
316,2,10,10,11
317,2,10,10,11
318,2,10,11,11
319,2,10,11,11
320,2,10,11,11
321,2,11,11,11
322,2,11,11,11
323,2,11,11,11
324,2,11,12,11
325,2,11,12,11
326,2,11,12,11
327,2,11,12,12
328,2,11,12,12
329,2,11,12,12
330,2,12,12,12
331,2,12,12,12
332,2,12,12,12
333,3,0,0,0
334,3,0,0,0
335,3,0,0,0
336,3,1,0,0
337,3,1,0,0
338,3,1,0,0
339,3,1,0,1
340,3,1,0,1
341,3,1,0,1
342,3,1,1,1
343,3,1,1,1
344,3,1,1,1
345,3,1,2,1
346,3,1,2,1
347,3,1,2,1
348,3,1,2,2
349,3,1,2,2
350,3,1,2,2
351,3,2,2,2
352,3,2,2,2
353,3,2,2,2
354,3,3,2,2
355,3,3,2,2
356,3,3,2,2
357,3,3,3,2
358,3,3,3,2
359,3,3,3,2
360,3,3,3,3
361,3,3,3,3
362,3,3,3,3
363,3,4,3,3
364,3,4,3,3
365,3,4,3,3
366,3,4,4,3
367,3,4,4,3
368,3,4,4,3
369,3,4,4,4
370,3,4,4,4
371,3,4,4,4
372,3,5,4,4
373,3,5,4,4
374,3,5,4,4
375,3,5,4,5
376,3,5,4,5
377,3,5,4,5
378,3,5,5,5
379,3,5,5,5
380,3,5,5,5
381,3,6,5,5
382,3,6,5,5
383,3,6,5,5
384,3,6,6,5
385,3,6,6,5
386,3,6,6,5
387,3,6,6,6
388,3,6,6,6
389,3,6,6,6
390,3,6,7,6
391,3,6,7,6
392,3,6,7,6
393,3,7,7,6
394,3,7,7,6
395,3,7,7,6
396,3,7,7,7
397,3,7,7,7
398,3,7,7,7
399,3,8,7,7
400,3,8,7,7
401,3,8,7,7
402,3,8,8,7
403,3,8,8,7
404,3,8,8,7
405,3,8,8,8
406,3,8,8,8
407,3,8,8,8
408,3,8,8,9
409,3,8,8,9
410,3,8,8,9
411,3,8,9,9
412,3,8,9,9
413,3,8,9,9
414,3,9,9,9
415,3,9,9,9
416,3,9,9,9
417,3,9,10,9
418,3,9,10,9
419,3,9,10,9
420,3,10,10,9
421,3,10,10,9
422,3,10,10,9
423,3,10,10,10
424,3,10,10,10
425,3,10,10,10
